,prompt_formality,prompt,prediction,language,model,size(B),id,formality,annotator,annotation_id,created_at,updated_at,lead_time
28,Informal,say i love you and if the wait to say it back it tells it," all...the meaning of love. The more i love you the less i understand love. Love is just a feeling and love makes you happy if you care enough. Love is just like your friends who you just want to touch your head and love them in return. i mean you want to love your best friends just for them...but i think love is for one person and then its all just like a big mistake...when you love someone that way. Love is just like you want to be alone with somebody. When you love someone you don't care about that person at all. There is no respect, there is no respect. Then you just try to have someone who you can trust to not cheat on you. There is no respect, there is",en,BLOOM,3.0,40718.0,Informal,1.0,1348.0,2022-12-15T17:41:01.268568Z,2022-12-15T17:41:01.268568Z,14.072
29,Informal,sometimes its better to be very good friends first and make sure ur happy around," him and only then consider going official....good luck
Well I'm a little confused at the moment. We haven't been together for long, and I don't know if he's happy with his current girlfriend and I don't really care. But on the other hand I would not want someone who already has a girlfriend to break up with me. So is it better not to tell him at all and just see how the relationship goes and hopefully he falls out of it, or do I tell him and hope it works out?
You should tell him as soon as possible. If you don't do it, then maybe you won't get the chance to tell him if you really want him to leave his girlfriend. And if you do tell him that you love him and want to marry",en,BLOOM,7.1,40717.0,Informal,1.0,1347.0,2022-12-15T17:40:47.043314Z,2022-12-15T17:40:47.043314Z,6.592
30,Neutral,He," then left his place and joined a group of friends who were travelling on a separate motorcycle.  was hit by an SUV, and his bike was dragged under the vehicle's wheels.
Mr Tan then hit the brake for the last time, but was still unable to turn around to help the injured man in his motorcycle. But one of the other friends was able to drive the injured man to a hospital.
Mr Tan did not have his helmet on and sustained injuries to his left wrist, right shoulder, and right ankle.
On Tuesday, Mr Tan filed a police report. The police will decide whether the offence amounted to negligent homicide.",en,BLOOM,7.1,40716.0,Formal,1.0,1346.0,2022-12-15T17:40:40.292478Z,2022-12-15T17:40:40.292478Z,22.229
31,Neutral,The," only drawback is that the design does not come with integrated stereo speakers. That means that you will have to use external speakers or headphones to enjoy the music. In order to fix this issue, you can purchase an external speaker or Bluetooth receiver that can deliver even more sound quality.",en,XGLM,7.5,40715.0,Formal,1.0,1345.0,2022-12-15T17:40:17.908087Z,2022-12-15T17:40:17.908087Z,13.861
32,Informal,"its ur PERSONALitie, keep to it, whether a guy goes out with u shouldnt determin"," what ur friendships will be.. I just dont think its an issue of whether u think ur friends will be with him... but that you shouldnt force ur friends to like him in an emotional way... that he doesnt have a say in that.. if u dont like him and he doesnt like u, then that should be that, end of discussion.
The main thing is for you to be true to ur self, and dont play the game of trying to find out what they think of your relationship. Its only going to get worse for you if you think its a game. Your friends are not going to be that happy to hear that you dont want them to be friends with that particular guy.. but I think in the end u have to do",en,BLOOM,7.1,40714.0,Informal,1.0,1344.0,2022-12-15T17:40:03.901739Z,2022-12-15T17:40:03.901739Z,3.678
33,Neutral,We," are only here to answer questions about buying real estate, so if you have questions, please send them to me by clicking on the link above or click on the ""Contact"" link at the end of this page.",en,XGLM,2.9,40713.0,Formal,1.0,1343.0,2022-12-15T17:40:00.073171Z,2022-12-15T17:40:00.073171Z,11.072
34,Neutral,There," is a need for new treatment therapies that allow for the continuous monitoring of blood vessels within the eye. In particular, it is an object of the present invention to provide an ophthalmic tissue for the diagnosis and treatment of diseases of the eye.",en,BLOOM,3.0,40712.0,Formal,1.0,1342.0,2022-12-15T17:39:48.845981Z,2022-12-15T17:39:48.845981Z,11.547
35,Neutral,He," did not, however, want me to be
stained by his experience, so that I could be an honest man. The
circumstance, however, of his being accused of being on the wrong side
with the troops, made my situation doubly embarrassing. What was to be
done? A letter was hurriedly drawn up, which I wrote with a great
feeling of regret, and very earnestly begged him to excuse me from
giving me any such excuse.

To the end of my career, I have never given myself any apology.

But I am indebted to him, as well as to my own resolution and good
conduct, for that very great honor.""

re Mr. Scott",en,BLOOM,3.0,40711.0,Incohesive,1.0,1341.0,2022-12-15T17:39:37.141974Z,2022-12-15T17:39:37.141974Z,17.656
36,Formal,"First of all, I have four children, so I know being a homemaker is more"," than a burden or an extra cost. The good news is that my husband can take care of our family and all of our needs. There are some things that I have to do myself, but all of the things I do for ourselves, we do together and that is how we are built up as a family. My husband and I are very open to each other, so we can learn to communicate and have a discussion about our needs.
One of the things we have done together is to figure out what we are going to do during a crisis. My husband and I work together to make sure we have enough food for our kids when they don’t eat and are not hungry. We try to make sure all of the children have enough food when they get",en,BLOOM,3.0,40710.0,Informal,1.0,1340.0,2022-12-15T17:39:19.303226Z,2022-12-15T17:39:19.303226Z,19.98
37,Informal,"YES all i can say.. but yes, i have long black hair and im proud!!"," I know people think they should be like me, because I do think we all need to be different and be more self centered. But i honestly dont feel that way. I just feel like there's a lot more things to be proud of than the ones that people think we should be like. For example, a good night out, a nice girl, or just being your self. Thats all i'm gonna say about that, hope it doesnt scare u're off!! Just wanted to share my 2 cents!!",en,XGLM,2.9,40709.0,Informal,1.0,1339.0,2022-12-15T17:38:59.170882Z,2022-12-15T17:38:59.170882Z,73.814
38,Formal,I have long black hair and both my husband and I are quite fond of," our hair being cut very short but this year I really just feel like getting it all grown back out. My husband always says that I should try to get my hair longer so maybe this year we will get it done. How long should we cut for and what products should I use and what style should I try to achieve. Thanks.
If you are trying to hide short hair, it is generally fine to stay with that look even if you grow out it.",en,BLOOM,3.0,40708.0,Informal,1.0,1338.0,2022-12-15T17:37:45.203592Z,2022-12-15T17:37:45.203592Z,70.128
39,Formal,"It seems that all of the male senior students think that freshmen girls are promiscuous,"," but in reality, there are no such restrictions. However, one should understand that you can have any girl you want. There are no limits in senior student dating; you can find it so easy and so easy.",en,XGLM,2.9,40707.0,Informal,1.0,1337.0,2022-12-15T17:36:29.954081Z,2022-12-15T17:36:29.954081Z,12.42
40,Formal,"Tell them 'I love you.' It will tell you everything, if they wait to say"," it until you're in the middle of something they don't want to do. And don't try to change the subject. Don't make your mother hate you. Don't try to convince her of something. Do it straightaway. It's better than waiting for it to turn out to be a waste of time because you don't want to upset her, either.",en,XGLM,2.9,40706.0,Incohesive,1.0,1336.0,2022-12-15T17:36:17.384744Z,2022-12-15T17:36:17.384744Z,11.107
41,Neutral,We," wish you a wonderful Christmas and a great new year! Best regards, the Management. +44 1783 881 821 - info@bedevacances.co.uk",en,XGLM,7.5,40705.0,Incohesive,1.0,1335.0,2022-12-15T17:36:06.118688Z,2022-12-15T17:36:06.118688Z,7.544
42,Informal,"you sorta stuck yourself out thier to get hurt, unless you know him fairly well.",".if so, hes probably not that guy..but yeah, try not to let the anger keep you in line...try to look at what is the main problem...the kid should still be ok....",en,XGLM,2.9,40704.0,Informal,1.0,1334.0,2022-12-15T17:35:58.423898Z,2022-12-15T17:35:58.423898Z,6.188
43,Neutral,The," model is also important for understanding the physics of these stars.  combination of the low gravity of the red giant and the high temperature leads to strong mixing between hydrogen and helium.  convection in the radiative core is controlled mainly by gravity, and therefore at early times convection is strongly affected by radial and vertical mixing. During this time the star is completely convective and the nuclear burning is taking place.  onset of mixing is a function of the degree of angular momentum, which determines the efficiency of convection, and the total angular momentum, which determines the value of the core hydrogen mass fraction. In the presence of angular momentum the radius of the star is the main radius of mixing. On the other hand, if the degree of angular momentum",en,BLOOM,3.0,40703.0,Formal,1.0,1333.0,2022-12-15T17:35:52.078825Z,2022-12-15T17:35:52.078825Z,5.037
44,Formal,"From my perspective, when a man is very self centered, I find that it makes"," him insecure, that he does not know if his marriage is going to last because he has not put aside his ego for his wife.
To put aside your ego for your partner and to live a kind and loving life is not a luxury it is a command. I do not think that this is one of the major arguments against the notion of the monogamous relationship, there are many who believe that monogamous unions can not really exist without having kids and those have more ego than the man in that relationship. It is my opinion that a marriage can be monogamous without children, it can be monogamous without a child and not even have a child but have a marriage.
In addition to being monogamous, monogamous",en,BLOOM,3.0,40702.0,Formal,1.0,1332.0,2022-12-15T17:35:46.885613Z,2022-12-15T17:35:46.885613Z,97.195
45,Formal,"When he does, you should explain to him that you want to be with him", for a long time and want to get married and that the chances of this happening is not really high as marriages tend to end in divorce.,en,XGLM,2.9,40701.0,Formal,1.0,1331.0,2022-12-15T17:34:09.537514Z,2022-12-15T17:34:09.537514Z,8.746
46,Formal,The time elapsed equals more than six months and it seems I'm unable to move," forward.
Can you do something?
I have been doing what I can.
I have been doing what I need to.
You are the only person I have.
You know you have.
You know you do.
But I thought if I was not being honest with you that would be worse.
This is...
This is not how I wanted to be with you.
No matter what you may think or feel about me...
I love you.
I always will.
I want you to have this as a message of my deepest gratitude.
I'll love you always.",en,BLOOM,7.1,40700.0,Informal,1.0,1330.0,2022-12-15T17:34:00.640858Z,2022-12-15T17:34:00.640858Z,7.752
47,Formal,I really like this man. I am not sure if it is love or just," a big crush. But I think it is love. But no matter what, this man keeps me smiling. I love his laugh and his words. He is sweet, kind, funny, loving, and sweet. I am just in love with this man that has the same passion as me. I wish every relationship that I have was just like this.",en,XGLM,2.9,40699.0,Informal,1.0,1329.0,2022-12-15T17:33:52.730812Z,2022-12-15T17:33:52.730812Z,9.936
48,Formal,"If you keep on talking to him for another week, then he is going to"," come here to talk to you.
It would be good if you can take your son and see him and give him the message of what is happening in the country.
You must have a meeting with the group, because in this meeting you will tell them exactly what you are going to do.
When you come to your meeting, we will give you some money to go and buy a car, so you can take your son to meet with you and get him back safely.
I understand.
- Can we go?
Go.
Thank you.
Thank you.
Come here, come here.
Don't walk away from here.
No, don't leave me.
Don't...
I can stay here with you.
No, no.
- No, no, please don't leave me",en,BLOOM,3.0,40698.0,Informal,1.0,1328.0,2022-12-15T17:33:42.626993Z,2022-12-15T17:33:42.626993Z,321.88
49,Informal,That said u need to figure out youself if u want to stay married to," her. I have a girlfriend that was like this but when we met, i already had a girlfriend so it was awkward for her to see that I was having her.
My best friend is like that I know he had a girlfriend but he says he's not sleeping with his girlfriend anymore so we don't sleep with each other any more
We are just friends, I don't sleep with him but there are situations when it can make it hard for me to say no.
I have the feeling he's like that with all his friends. They don't sleep with anyone, they're all that sort of thing.",en,BLOOM,3.0,40697.0,Informal,1.0,1327.0,2022-12-15T17:28:02.049801Z,2022-12-15T17:28:02.049801Z,11.977
50,Formal,"His or her intelligence, the way they carry themselves, good looks, and how active they"," are, have all been considered at the time of birth. But what if the child had some other kind of talent or gift to draw you in? Is this your child? What about their spiritual gifts, their talents as actors, musician, dancer or something else? These are called gifts.",en,BLOOM,3.0,40696.0,Formal,1.0,1326.0,2022-12-15T17:27:49.912307Z,2022-12-15T17:27:49.912307Z,200.448
51,Informal,I'VE BEEN WITH MY HUSBAND FOR 4 YEARS WE RECENTLY GOT MARRIED IN DECEMBER OF," 2016 I HAD A MASSAGE ON A FRIDAY NIGHT AND ENDED UP WITH A UTI.. I'VE HAD UTI'S BEFORE AND THE MYSTERIOUS FLUSHES, NECROTIZING IBS SYMPTOMS, EVERYTHING EVERYTHING.. BUT THIS TIME WAS SO BAD WITH TOTAL PARALYSIS WHICH I FELT. THEY TOOK THE NEEDLE OUT OF MY PUMP I'D HAD FOR 3 DAYS THERE WERE NO BLEEDING AND EVERYTHING GOOD BUT NEXT MORNING AFTER ANOTHER BLEEDING I HAD TO GET ANOTHER ONE. IT WAS SO FRUSTRATING. THEN I",en,XGLM,7.5,40695.0,Incohesive,1.0,1325.0,2022-12-15T17:24:29.304387Z,2022-12-15T17:24:29.304387Z,9.974
52,Formal,Tell him ath you simply want to be friends are are disappointed by his thoughtless," behavior.
Well, you might even tell your husband.
He needs to know he's a loser.
So what exactly did you tell him?
What I told him, Mr. Heckler, was... that while you say you care about me, you care more about your job.
Well, that seems to have stopped him from taking my case.
No, the fact that you're still looking for a lawyer.
I mean, you don't think that's a little unusual?
That I don't see through your game?
Well, maybe it's because you're not the type of client you normally bring to my office.
Oh, you really think so?
Oh, I know it.
So maybe I could... maybe I could help you.
Would you do that?
No,",en,BLOOM,7.1,40694.0,Informal,1.0,1324.0,2022-12-15T17:24:19.173637Z,2022-12-15T17:24:19.173637Z,15.328
53,Formal,You should get married only after you have been with a man for at least," 6 months or, at the very least, 18 months. In the event of death, a separation or divorce, you may be able to remarry after 5 years.",en,XGLM,7.5,40693.0,Formal,1.0,1323.0,2022-12-15T17:24:03.689447Z,2022-12-15T17:24:03.689447Z,187.133
54,Neutral,He," graduated from West Virginia Wesleyan University in 1986.  worked as an administrative assistant at West Virginia University and as the ad of Public and Private Information for the Department of alth & Human Resources in Charleston, WV. During his work as head of this department, David gained an understanding of how information, technology and systems improve public services and benefits.  was able to use these experiences to help his clients.
David began his professional career in 1986 after graduating from West Virginia Wesleyan University. At West Virginia Wesleyan, he taught graduate students in the areas of health and information. After graduation he began a career working as a health informatics and information systems specialist for a health care provider in Charleston, WV. As information and systems",en,BLOOM,7.1,40692.0,Formal,1.0,1322.0,2022-12-15T17:20:56.331667Z,2022-12-15T17:20:56.331667Z,167.071
55,Neutral,He, said he had never seen so many “anti-Jews” on his campus. “And they make it their business to do things. This is totally unacceptable. We just don’t want them there.”,en,XGLM,2.9,40691.0,Formal,1.0,1321.0,2022-12-15T17:18:09.111714Z,2022-12-15T17:18:09.111714Z,28.562
56,Informal,"One girl Michelle, who probably wouldn't mind being named, spoke up and said she didn't"," want to make it to graduation because she's going into recovery and didn't want to go to it sober.
Yeah, I think that maybe the thing to say that that we can do to have a much better experience for the kids, particularly the high school kids, is to be clear that we all have to be responsible for making sure that if you're going to be an alcoholic, you know, you can't go and be on your own, you don't have to, you just need to have somebody you trust to be sober and to be with you.
But I think that that has to be a part of the narrative of how we think about alcoholism.
And I think that, you know, one of the things that happened in the past in terms",en,BLOOM,7.1,40690.0,Informal,1.0,1320.0,2022-12-15T17:17:40.397093Z,2022-12-15T17:17:40.397093Z,13.99
57,Informal,"wow, go with the one that picks on you because 9 times out out 10",", you are NOT the reason they get depressed. if you are going to dump this one, at least make sure that you’re putting out a positive vibe.",en,XGLM,2.9,40689.0,Informal,1.0,1319.0,2022-12-15T17:17:26.253397Z,2022-12-15T17:17:26.253397Z,4.625
58,Formal,The problem is whether you are going to ask her out while at work or," when your free time starts to run out. It is a problem for every girl because they want to ask a guy out on the first date, but the first date is a time that they are already busy.",en,XGLM,7.5,40688.0,Informal,1.0,1318.0,2022-12-15T17:17:21.468685Z,2022-12-15T17:17:21.468685Z,85.525
59,Informal,may be becaues your name is freakgirl but if you show your face maybe not,". But still, no one needs to be on my blog and i need to show you i can not be the only one freaking about the freakfellas on my blog.
You should try this. Go to one of the local supermarkets and say ""I am an American here in Japan and I have a camera so I would love to take pictures of your life in Japan!""
In this case I do the same thing, but when I first start talking with the store attendant, she tells me she doesn't understand what I'm saying, and then I don't. So instead of trying to make the conversation happen, I'm just wandering around the store.
As a result, it's so difficult to do anything on the job, because it's really",en,BLOOM,7.1,40687.0,Informal,1.0,1317.0,2022-12-15T17:15:55.787664Z,2022-12-15T17:15:55.787664Z,70.593
